app_id,name,price_usd,is_free,genres,categories,tags,platforms,positive_review_percentage,total_reviews,release_year,metacritic_score,avg_playtime_hours,required_age,header_image,steam_store_url,short_description,embedding_text
794260,Outward Definitive Edition,4.79,False,RPG,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Remote Play Together, Family Sharing","RPG, Open World, Survival, Co-op, Online Co-Op, Local Co-Op, Souls-like, Split Screen, Fantasy, Adventure",Windows,72.88,28455,2022.0,,22.2,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/794260/header.jpg?t=1771496439,https://store.steampowered.com/app/794260,"No remarkable journey is achieved without great effort. In Outward, the cold of the night or an infected wound can be as dangerous as a predator lurking in the dark. Explore the vast world of Aurai solo or in Co-op. The Definitive Edition features both DLCs and quality of life improvements.","Game: Outward Definitive Edition. Description: No remarkable journey is achieved without great effort. In Outward, the cold of the night or an infected wound can be as dangerous as a predator lurking in the dark. Explore the vast world of Aurai solo or in Co-op. The Definitive Edition features both DLCs and quality of life improvements. Genres: RPG. Categories: Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Remote Play Together, Family Sharing. Community tags: RPG, Open World, Survival, Co-op, Online Co-Op, Local Co-Op, Souls-like, Split Screen, Fantasy, Adventure. Supported platforms: Windows. Developer: Nine Dots Studio."
253920,Gorky 17,9.99,False,"RPG, Strategy","Single-player, Steam Trading Cards, Family Sharing","RPG, Strategy, Turn-Based, Classic, Horror, Post-apocalyptic, Singleplayer, Turn-Based Strategy, Isometric, Tactical","Windows, Mac, Linux",79.72,2027,2013.0,,5.0,17,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/253920/ee4fc5ee341ddc317e2caba6964732c8c9c11905/header.jpg?t=1760976910,https://store.steampowered.com/app/253920,"November 2008. NATO intelligence services report that, for reasons unknown, the Russian military has destroyed GORKY 17, one of the old Soviet &quot;Secret Cities&quot;. A year later NATO takes over a former Russian secret base built on Polish soil. Diggers discover a laboratory complex in the completely demolished town.","Game: Gorky 17. Description: November 2008. NATO intelligence services report that, for reasons unknown, the Russian military has destroyed GORKY 17, one of the old Soviet &quot;Secret Cities&quot;. A year later NATO takes over a former Russian secret base built on Polish soil. Diggers discover a laboratory complex in the completely demolished town. Genres: RPG, Strategy. Categories: Single-player, Steam Trading Cards, Family Sharing. Community tags: RPG, Strategy, Turn-Based, Classic, Horror, Post-apocalyptic, Singleplayer, Turn-Based Strategy, Isometric, Tactical. Supported platforms: Windows, Mac, Linux. Developer: Metropolis Software."
613010,Secret in Story,0.89,False,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","Indie, Adventure, Visual Novel","Windows, Mac",69.3,114,2017.0,,4.2,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/613010/header.jpg?t=1710408063,https://store.steampowered.com/app/613010,"Accompanied by beautiful piano music, you begin to experience a wonderful love journey. There is no dialogue in the story, only pictures intertwined with montage techniques. Players need to unlock each puzzle to open every door of memory, to find the youth that we have been missing.","Game: Secret in Story. Description: Accompanied by beautiful piano music, you begin to experience a wonderful love journey. There is no dialogue in the story, only pictures intertwined with montage techniques. Players need to unlock each puzzle to open every door of memory, to find the youth that we have been missing. Genres: Adventure, Indie. Categories: Single-player, Steam Achievements, Steam Trading Cards, Family Sharing. Community tags: Indie, Adventure, Visual Novel. Supported platforms: Windows, Mac. Developer: Naivus Luo."
892420,懒人修仙传,3.99,False,"Casual, Indie, RPG, Simulation","Single-player, Family Sharing","Simulation, Casual, RPG, Indie, Word Game, Idler",Windows,60.17,1278,2018.0,,96.4,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/892420/header.jpg?t=1542742105,https://store.steampowered.com/app/892420,这是一款很&quot;休闲&quot;的文字挂机游戏，游戏小而系统完善，玩法丰富，极其耗电，并且有大量玩家自制mod，让你玩了就停不下来。喜欢文字挂机游戏的不要错过，也仅限喜欢挂机游戏的同好，,"Game: 懒人修仙传. Description: 这是一款很&quot;休闲&quot;的文字挂机游戏，游戏小而系统完善，玩法丰富，极其耗电，并且有大量玩家自制mod，让你玩了就停不下来。喜欢文字挂机游戏的不要错过，也仅限喜欢挂机游戏的同好， Genres: Casual, Indie, RPG, Simulation. Categories: Single-player, Family Sharing. Community tags: Simulation, Casual, RPG, Indie, Word Game, Idler. Supported platforms: Windows. Developer: 托更的修罗."
914010,Train Station Renovation,18.99,False,"Casual, Indie, Simulation","Single-player, Steam Achievements, Steam Cloud, Family Sharing","Simulation, Casual, Indie, Trains, First-Person, Singleplayer, Building, Realistic, Relaxing, Family Friendly",Windows,82.21,2620,2020.0,68.0,7.5,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/914010/header.jpg?t=1760606809,https://store.steampowered.com/app/914010,"Welcome to an old, ruined train station. A place that will give you a lot of fun! In Train Station Renovation you play as a renovation company specialized in restoring old and damaged railway stations.","Game: Train Station Renovation. Description: Welcome to an old, ruined train station. A place that will give you a lot of fun! In Train Station Renovation you play as a renovation company specialized in restoring old and damaged railway stations. Genres: Casual, Indie, Simulation. Categories: Single-player, Steam Achievements, Steam Cloud, Family Sharing. Community tags: Simulation, Casual, Indie, Trains, First-Person, Singleplayer, Building, Realistic, Relaxing, Family Friendly. Supported platforms: Windows. Developer: Live Motion Games."
352550,Urban Empire,2.99,False,"Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Strategy, Simulation, City Builder, Politics, Political Sim, Management, Economy, Historical, RPG, Political",Windows,33.99,2454,2017.0,62.0,1.9,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/352550/header.jpg?t=1730815714,https://store.steampowered.com/app/352550,"Urban Empire is a ‘City Ruler’, pioneering a new breed of strategy game that combines city builder features with political scheming and adds profound social and historical events into the mix, creating a whole new gameplay experience.","Game: Urban Empire. Description: Urban Empire is a ‘City Ruler’, pioneering a new breed of strategy game that combines city builder features with political scheming and adds profound social and historical events into the mix, creating a whole new gameplay experience. Genres: Simulation, Strategy. Categories: Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing. Community tags: Strategy, Simulation, City Builder, Politics, Political Sim, Management, Economy, Historical, RPG, Political. Supported platforms: Windows. Developer: Reborn Games."
247020,"Cook, Serve, Delicious!",12.99,False,"Action, Indie, Simulation, Strategy","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Difficulty, Mouse Only Option, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing","Indie, Time Management, Typing, Difficult, Management, Cooking, Arcade, Strategy, 2D, Funny","Windows, Mac, Linux",94.5,5620,2013.0,,8.2,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/247020/header.jpg?t=1757022294,https://store.steampowered.com/app/247020,"Hungry? Take your restaurant from a one star abomination to a five star wonder in Cook, Serve, Delicious! Plan your menu, upgrade your equipment, and master challenges with easy-to-learn, hard-to-master gameplay!","Game: Cook, Serve, Delicious!. Description: Hungry? Take your restaurant from a one star abomination to a five star wonder in Cook, Serve, Delicious! Plan your menu, upgrade your equipment, and master challenges with easy-to-learn, hard-to-master gameplay! Genres: Action, Indie, Simulation, Strategy. Categories: Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Difficulty, Mouse Only Option, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing. Community tags: Indie, Time Management, Typing, Difficult, Management, Cooking, Arcade, Strategy, 2D, Funny. Supported platforms: Windows, Mac, Linux. Developer: Vertigo Gaming Inc.."
253940,Septerra Core,7.99,False,RPG,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing","RPG, Turn-Based, JRPG, Singleplayer, Isometric, Female Protagonist, Classic, Sci-fi, Story Rich, Adventure","Windows, Mac, Linux",75.55,1182,2013.0,70.0,5.8,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/253940/header.jpg?t=1576488973,https://store.steampowered.com/app/253940,"At the very heart of Septerra lies the Core, a huge Biocomputer. Seven continents at different elevations, each with its own unique people and culture, orbit around the Core.According to an ancient prophecy, Septerra's continents will one day converge and join in orbit together on one level - this is the Legacy of Marduk, the Creator's...","Game: Septerra Core. Description: At the very heart of Septerra lies the Core, a huge Biocomputer. Seven continents at different elevations, each with its own unique people and culture, orbit around the Core.According to an ancient prophecy, Septerra's continents will one day converge and join in orbit together on one level - this is the Legacy of Marduk, the Creator's... Genres: RPG. Categories: Single-player, Steam Trading Cards, Steam Cloud, Family Sharing. Community tags: RPG, Turn-Based, JRPG, Singleplayer, Isometric, Female Protagonist, Classic, Sci-fi, Story Rich, Adventure. Supported platforms: Windows, Mac, Linux. Developer: Unknown developer."
1846170,Iron Lung,7.99,False,"Adventure, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Camera Comfort, Playable without Timed Input, Stereo Sound, Partial Controller Support, Steam Cloud, Family Sharing","Horror, Atmospheric, Psychological Horror, Submarine, Underwater, Short, Indie, Pixel Graphics, Minimalist, Adventure",Windows,92.15,8170,2022.0,,1.4,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1846170/header.jpg?t=1770061280,https://store.steampowered.com/app/1846170,A short horror game where you pilot a tiny submarine through an ocean of blood on an alien moon.,"Game: Iron Lung. Description: A short horror game where you pilot a tiny submarine through an ocean of blood on an alien moon. Genres: Adventure, Indie, Simulation. Categories: Single-player, Steam Achievements, Steam Trading Cards, Camera Comfort, Playable without Timed Input, Stereo Sound, Partial Controller Support, Steam Cloud, Family Sharing. Community tags: Horror, Atmospheric, Psychological Horror, Submarine, Underwater, Short, Indie, Pixel Graphics, Minimalist, Adventure. Supported platforms: Windows. Developer: David Szymanski."
260210,Assassin’s Creed® Liberation HD,19.99,False,"Action, Adventure","Single-player, Steam Achievements","Action, Female Protagonist, Open World, Stealth, Adventure, Assassin, Third Person, Parkour, Singleplayer, Historical",Windows,53.74,2970,2014.0,,4.4,17,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/260210/header.jpg?t=1747655342,https://store.steampowered.com/app/260210,"Introducing Assassin’s Creed® Liberation HD, the striking chapter of the pre-American Revolution Assassin’s Creed saga which arrives for the first time on HD consoles and PC. With improved gameplay, a deeper story, and HD graphics, Liberation is an immersive and full Assassin’s Creed experience.The year is 1765.","Game: Assassin’s Creed® Liberation HD. Description: Introducing Assassin’s Creed® Liberation HD, the striking chapter of the pre-American Revolution Assassin’s Creed saga which arrives for the first time on HD consoles and PC. With improved gameplay, a deeper story, and HD graphics, Liberation is an immersive and full Assassin’s Creed experience.The year is 1765. Genres: Action, Adventure. Categories: Single-player, Steam Achievements. Community tags: Action, Female Protagonist, Open World, Stealth, Adventure, Assassin, Third Person, Parkour, Singleplayer, Historical. Supported platforms: Windows. Developer: Ubisoft Sofia."
